Column_A,Column_B,Column_C
#(^(*^$(A_data$%&*#(^(*^$(,">>>????....>>/?>.,``12345678=[';;';';';#(^(*^)()))(!@B_data#(^(*^)()))(!@",#(^(*^$(<>><>)(*C_data#(^(*^$(<>><>)(*
#(^(*^$(A_data#(^(*^$(,#(^(*^)()))(!@B_data#(^(*^)()))(!@,#(^(*^$(<>><>)(*C_data#(^(*^$(<>><>)(*
#(^(*^$(A_data#(^(*^$(,#(^(*^)()))(!@B_data#(^(*^)()))(!@,#(^(*^$(<>><>)(*C_data#(^(*^$(<>><>)(*
#(^(*^$(A_data#(^(*^$(,#(^(*^)()))(!@B_data#(^(*^)()))(!@,#(^(*^$(<>><>)(*C_data#(^(*^$(<>><>)(*
#(^(*^$(A_data#(^(*^$(,#(^(*^)()))(!@B_data#(^(*^)()))(!@,#(^(*^$(<>><>)(*C_data#(^(*^$(<>><>)(*
#(^(*^$(A_data#(^(*^$(,#(^(*^)()))(!@B_data#(^(*^)()))(!@,#(^(*^$(<>><>)(*C_data#(^(*^$(<>><>)(*
#(^(*^$(A_data#(^(*^$(,#(^(*^)()))(!@B_data#(^(*^)()))(!@,#(^(*^$(<>><>)(*C_data#(^(*^$(<>><>)(*
#(^(*^$(A_data#(^(*^$(,#(^(*^)()))(!@B_data#(^(*^)()))(!@,#(^(*^$(<>><>)(*C_data#(^(*^$(<>><>)(*
#(^(*^$(A_data#(^(*^$(,#(^(*^)()))(!@B_data#(^(*^)()))(!@,#(^(*^$(<>><>)(*C_data#(^(*^$(<>><>)(*
#(^(*^$(A_data#(^(*^$(,#(^(*^)()))(!@B_data#(^(*^)()))(!@,#(^(*^$(<>><>)(*C_data#(^(*^$(<>><>)(*
#(^(*^$(A_data#(^(*^$(,#(^(*^)()))(!@B_data#(^(*^)()))(!@,#(^(*^$(<>><>)(*C_data#(^(*^$(<>><>)(*
#(^(*^$(A_data#(^(*^$(,#(^(*^)()))(!@B_data#(^(*^)()))(!@,#(^(*^$(<>><>)(*C_data#(^(*^$(<>><>)(*
#(^(*^$(A_data#(^(*^$(,#(^(*^)()))(!@B_data#(^(*^)()))(!@,#(^(*^$(<>><>)(*C_data#(^(*^$(<>><>)(*
#(^(*^$(A_data#(^(*^$(,#(^(*^)()))(!@B_data#(^(*^)()))(!@,#(^(*^$(<>><>)(*C_data#(^(*^$(<>><>)(*
#(^(*^$(A_data#(^(*^$(,#(^(*^)()))(!@B_data#(^(*^)()))(!@,#(^(*^$(<>><>)(*C_data#(^(*^$(<>><>)(*
#(^(*^$(A_data#(^(*^$(,#(^(*^)()))(!@B_data#(^(*^)()))(!@,#(^(*^$(<>><>)(*C_data#(^(*^$(<>><>)(*
#(^(*^$(A_data#(^(*^$(,#(^(*^)()))(!@B_data#(^(*^)()))(!@,#(^(*^$(<>><>)(*C_data#(^(*^$(<>><>)(*
#(^(*^$(A_data#(^(*^$(,#(^(*^)()))(!@B_data#(^(*^)()))(!@,#(^(*^$(<>><>)(*C_data#(^(*^$(<>><>)(*
#(^(*^$(A_data#(^(*^$(,#(^(*^)()))(!@B_data#(^(*^)()))(!@,#(^(*^$(<>><>)(*C_data#(^(*^$(<>><>)(*
#(^(*^$(A_data#(^(*^$(,#(^(*^)()))(!@B_data#(^(*^)()))(!@,#(^(*^$(<>><>)(*C_data#(^(*^$(<>><>)(*
#(^(*^$(A_data#(^(*^$(,#(^(*^)()))(!@B_data#(^(*^)()))(!@,#(^(*^$(<>><>)(*C_data#(^(*^$(<>><>)(*
#(^(*^$(A_data#(^(*^$(,#(^(*^)()))(!@B_data#(^(*^)()))(!@,#(^(*^$(<>><>)(*C_data#(^(*^$(<>><>)(*
#(^(*^$(A_data#(^(*^$(,#(^(*^)()))(!@B_data#(^(*^)()))(!@,#(^(*^$(<>><>)(*C_data#(^(*^$(<>><>)(*
#(^(*^$(A_data#(^(*^$(,#(^(*^)()))(!@B_data#(^(*^)()))(!@,#(^(*^$(<>><>)(*C_data#(^(*^$(<>><>)(*
#(^(*^$(A_data#(^(*^$(,#(^(*^)()))(!@B_data#(^(*^)()))(!@,#(^(*^$(<>><>)(*C_data#(^(*^$(<>><>)(*
#(^(*^$(A_data#(^(*^$(,#(^(*^)()))(!@B_data#(^(*^)()))(!@,#(^(*^$(<>><>)(*C_data#(^(*^$(<>><>)(*
